country,,country,year,mean_years_of_schooling_female,share_of_male_seats_in_parliament,mean_years_of_schooling,income_inequality,co2_emissions_per_capita_tonnes,expected_years_of_schooling_male,expected_years_of_schooling,female_labour_force_participation_rate,female_population_with_some_secondary_education,expected_years_of_schooling_female,adolescent_birth_rate_per_1000_women_ages_15_19,material_footprint_per_capita_tonnes,mean_years_of_schooling_male,male_population_with_some_secondary_education,share_of_female_seats_in_parliament,education_inequality,gender_development_index,coefficient_of_human_inequality,male_labour_force_participation_rate,human_development_index,gross_national_income_per_capita_2017_ppp,total_population_as_of_january_1st_thousands,total_population_as_of_july_1st_thousands,male_population_as_of_july_1st_thousands,female_population_as_of_july_1st_thousands,population_density_as_of_july_1st_persons_per_square_km,population_sex_ratio_as_of_july_1st_males_per_100_females,median_age_as_of_july_1st_years,natural_change_births_minus_deaths_thousands,rate_of_natural_change_per_1000_population,population_change_thousands,population_growth_rate_percentage,population_annual_doubling_time_years,births_thousands,births_by_women_aged_15_to_19_thousands,crude_birth_rate_births_per_1000_population,total_fertility_rate_live_births_per_woman,net_reproduction_rate_surviving_daughters_per_woman,mean_age_of_childbearing_years,sex_ratio_at_birth_males_per_100_female_births,total_deaths_thousands,male_deaths_thousands,female_deaths_thousands,crude_death_rate_deaths_per_1000_population,live_births_surviving_to_age_1_thousands,net_number_of_migrants_thousands,net_migration_rate_per_1000_population,country_id,gross_national_income_per_capita_2017_ppp_log
Antigua and Barbuda,224,Antigua and Barbuda,1990,,88.88888889,8.917419472498398,,3.515864893,14.380949329972758,15.155558935619345,,,15.853610459481779,82.867,,,,11.11111111,,,,,0.8090021275404262,13560.30944,63.473,63.328,30.494,32.834,143.9273,92.8732,24.5263,0.847,13.25,-0.29,-0.458,27.505523874710157,1.337,0.24,20.916,2.2492,1.0819,26.536,102.8,0.49,0.246,0.244,7.666,1.324,-1.145,-17.915,5,9.51490238129301
Antigua and Barbuda,228,Antigua and Barbuda,1994,,88.88888889,8.991523568318346,,3.216772811,14.135055662313484,14.956195954064018,,,15.722645884431312,65.405,,,,11.11111111,,,,,0.8054786434314845,15516.76116,66.434,67.072,32.099,34.974,152.4364,91.7795,25.6972,0.766,11.457,1.276,1.902,36.4431,1.269,0.197,18.99,2.069,0.9952,26.924,102.8,0.503,0.254,0.249,7.533,1.255,0.513,7.679,5,9.649676083814478
Antigua and Barbuda,238,Antigua and Barbuda,2004,,86.11111111,9.066243472,,4.560844453,13.89336642472399,14.75945548208313,,,15.592763190379623,51.554,,,,13.88888889,,,,,0.8019705053146524,16972.51905,78.502,78.941,37.188,41.753,179.4114,89.0667,28.5063,0.784,9.938,0.878,1.112,62.3334,1.263,0.178,16.013,1.8518,0.8938,27.283,103.1,0.479,0.237,0.242,6.075,1.251,0.101,1.28,5,9.739350788579062
Antigua and Barbuda,239,Antigua and Barbuda,2005,,86.11111111,9.117991296,,4.587614313,13.655809727462747,14.56530302201611,,,15.463953440051155,49.532,,,,13.88888889,,,,,0.798477646352826,18213.73908,79.38,79.869,37.66,42.208,181.5205,89.2249,28.8297,0.77,9.653,0.978,1.225,56.5834,1.25,0.173,15.668,1.8324,0.8851,27.27,103.1,0.48,0.243,0.237,6.015,1.239,0.202,2.532,5,9.809931482780838
Antigua and Barbuda,251,Antigua and Barbuda,2017,,80.0,9.263093809,,5.145138641,13.42231491,14.37370453,,,15.33620777,30.352,,,,20.0,,,,,0.795,18775.95101,90.843,91.119,43.461,47.658,207.0886,91.1915,32.9136,0.55,6.043,0.552,0.606,114.3807,1.074,0.105,11.789,1.4847,0.7217,27.946,103.2,0.524,0.268,0.255,5.746,1.069,0.0,0.0,5,9.840332128345521
Antigua and Barbuda,253,Antigua and Barbuda,2019,,68.57142857,9.293740746,,5.008031467,13.19281252,14.18462641,,,15.20951739,30.83,,,,31.42857143,,,,,0.8,20600.95888,91.856,92.116,43.961,48.156,209.3557,91.2897,33.8246,0.518,5.62,0.521,0.566,122.4642,1.058,0.102,11.485,1.4684,0.7146,28.036,103.2,0.54,0.278,0.262,5.865,1.053,0.0,0.0,5,9.933092901267184
Antigua and Barbuda,254,Antigua and Barbuda,2020,,68.57142857,9.293740746,,4.395122997,13.19281252,14.18462641,,,15.20951739,32.959,,,,31.42857143,,,,,0.788,16265.29515,92.377,92.664,44.236,48.428,210.6,91.3419,34.2592,0.575,6.199,0.574,0.619,111.9785,1.127,0.108,12.16,1.5694,0.764,28.011,103.2,0.552,0.285,0.268,5.961,1.122,0.0,0.0,5,9.696788985069277
Argentina,162,Argentina,1992,8.181167412,77.20364742,8.260361195,26.999364859647773,3.615658722,12.73470503,13.19059308,47.486,37.25234413,13.64648114,72.151,13.47,8.346910858,39.25946655,22.79635258,8.75649528633755,0.975,15.91728849822641,75.107,0.735,15940.72602,33338.375,33568.285,16529.209,17039.077,12.0238,97.0077,26.2853,473.018,14.088,459.821,1.37,50.5947,728.033,107.35,21.683,2.9875,1.3988,27.709,105.4,255.015,136.841,118.174,7.595,712.716,-13.201,-0.393,6,9.676632498358414
Argentina,169,Argentina,1999,8.80064621,77.20364742,8.732237816,27.232834226970915,4.038835647,14.30125046,14.99421978,50.775,44.13288879,15.6862402,68.268,14.71,8.654917908,44.23705978,22.79635258,8.060825530800283,0.99,15.481466532545177,75.441,0.773,18535.78094,36442.062,36653.031,18072.503,18580.528,13.1288,97.2658,26.6626,442.157,12.059,421.938,1.151,60.2213,721.366,109.921,19.674,2.643,1.2463,27.817,105.5,279.209,148.496,130.713,7.615,709.321,-20.22,-0.551,6,9.82745824795865
Argentina,177,Argentina,2007,10.38473463,60.24464832,10.29859972,27.468322454580647,4.390799937,15.23612976,16.17280006,49.08,60.95487849,17.11263084,66.424,14.68,10.18976498,61.35470146,39.75535168,7.420424052461129,0.997,15.05757755317574,74.266,0.817,21872.98639,39680.584,39876.112,19685.381,20190.731,14.2832,97.4971,28.1906,409.122,10.257,391.055,0.981,70.6572,718.146,111.353,18.005,2.3695,1.1209,27.756,106.3,309.024,164.962,144.062,7.748,709.016,-18.051,-0.453,6,9.993007656246029
