,country,expected_years_of_schooling
324,Azerbaijan,10.44034004
1583,Algeria,12.26202011
1086,Côte d'Ivoire,10.67558002
3139,Liberia,10.090915095
2421,Haiti,8.885
5485,Tajikistan,10.50277042
2189,Greece,15.1612196
4250,Nauru,11.06832328
2680,Israel,16.16893005
1177,Congo,11.39072609
5798,Ukraine,12.34071407
1562,Dominican Republic,14.14081955
3219,Saint Lucia,12.9246676
2285,Guyana,10.89680004
3570,Maldives,12.31131607
2885,Kyrgyzstan,10.57563972
6040,Vanuatu,11.22036906
2105,Gambia,8.643216471
4982,El Salvador,12.67521
2388,Croatia,14.40382957
3882,Mauritania,6.471035004
4022,Namibia,11.73571646
3448,Morocco,12.47205772
1689,Eritrea,8.03470993
4988,El Salvador,12.71449047
5925,Saint Vincent and the Grenadines,12.23086723
1341,Cuba,14.4114399
4177,Norway,17.56229973
4781,Saudi Arabia,12.25980603
547,Bahrain,13.58314037
320,Azerbaijan,11.0690403
5957,Venezuela (Bolivarian Republic of),10.78565001
589,Bahamas,12.28425333
1636,Egypt,10.24602401
4600,Portugal,16.51876068
649,Belarus,13.15797338
1961,United Kingdom,15.8917799
5563,Timor-Leste,12.39822
1514,Denmark,16.23390961
5348,Syrian Arab Republic,9.878669739
1353,Cyprus,12.51097965
5829,Uruguay,13.07879233
2567,Iran (Islamic Republic of),11.12385988
3457,Monaco,11.96958591376549
5728,Tanzania,5.693888074
796,Barbados,15.65930834
185,Argentina,17.40954971
3894,Mauritania,8.365590096
4580,Portugal,14.64418983
5878,United States of America,16.0998913
4259,New Zealand,15.97017002
3353,Lithuania,16.4450798
4203,Nepal,8.564680099
606,Bahamas,12.89945
1741,Estonia,15.71774006
4571,North Korea,10.78317
2170,Equatorial Guinea,9.315352095
890,Botswana,12.3081694
2664,Israel,14.86066024
217,Armenia,12.96794987
3006,Saint Kitts and Nevis,15.42769157
2073,Guinea,9.163121769
136,United Arab Emirates,11.281932
4952,Sierra Leone,9.259005461
5440,Thailand,8.434339523
3007,Saint Kitts and Nevis,15.42769157
355,Burundi,4.789209843
3331,Lithuania,11.84232998
2608,Iraq,10.41357063
1268,Cabo Verde,12.7974596
1635,Egypt,10.07908273
6042,Vanuatu,11.34488537
498,Bangladesh,8.651410103
6055,Samoa,12.0
4919,Solomon Islands,10.56268816
626,Bosnia and Herzegovina,13.3
4444,Philippines,13.19219971
3011,South Korea,13.93517971
5104,South Sudan,11.96958591376549
1620,Ecuador,14.70426355
3653,North Macedonia,10.93083954
53,Angola,9.560079575
2870,Kenya,10.39574252
5593,Tonga,15.60081157
3092,Lao People's Democratic Republic,9.954899788
4190,Norway,18.18519974
4477,Palau,15.89943297
2897,Kyrgyzstan,12.66928959
4189,Norway,18.18519974
1712,Spain,15.94079971
224,Antigua and Barbuda,14.704272079999999
6156,Zambia,8.726917267
1212,Colombia,14.39857006
306,Austria,15.77005959
2785,Japan,13.05280018
2577,Iran (Islamic Republic of),12.01554012
5881,United States of America,16.1919899
4212,Nepal,11.92319012
111,Andorra,10.82593
699,Belize,13.11357975
5129,Sao Tome and Principe,9.009742464
1094,Cameroon,7.444602311
2128,Guinea-Bissau,9.186900139
3953,Malawi,9.792160034
1328,Cuba,16.11899948
94,Albania,14.44799995
2531,Ireland,13.04246044
567,Bahrain,13.5202198
5070,Serbia,13.16234016
5762,Uganda,5.163599968
2314,Hong Kong,14.28016361
4635,Paraguay,12.70668574
3744,Myanmar,6.001580238
2627,Iceland,15.46640015
5904,Uzbekistan,11.44670963
4392,Peru,12.42867994
593,Bahamas,12.3839979
5908,Uzbekistan,11.46634007
841,Bhutan,7.096560001
5423,Togo,10.38064003
517,Bulgaria,12.14505005
1483,Dominica,12.75800689
5292,Eswatini,9.992480278
4891,Singapore,16.44087982
738,Brazil,12.54835833
6127,South Africa,13.26290104
6202,Zimbabwe,11.72748318
4266,New Zealand,17.43277898
3614,Mexico,14.86443996
5456,Thailand,12.79994011
113,Andorra,11.18277
5983,Venezuela (Bolivarian Republic of),12.81608
3540,Madagascar,10.15793514
4811,Sudan,5.73304987
5181,Suriname,13.03564357
958,Canada,16.39625931
5102,South Sudan,11.96958591376549
719,Bolivia (Plurinational State of),13.93571091
1234,Comoros,10.44390011
4640,Qatar,11.84733963
3788,Montenegro,12.24174907
3533,Madagascar,8.733585103
1168,Congo,9.517526627
4225,Nauru,10.317411495
2900,Kyrgyzstan,12.41543961
2568,Iran (Islamic Republic of),11.2939198
3367,Luxembourg,12.40548992
4117,Nicaragua,11.07403322
493,Bangladesh,8.310819435
5265,Sweden,15.72296047
1401,Czechia,16.8604393
4558,North Korea,11.96958591376549
5333,Seychelles,11.83082962
1071,Côte d'Ivoire,7.363823986
4824,Sudan,7.523449898
811,Brunei Darussalam,13.11894035
1390,Czechia,14.60776043
4723,Russian Federation,13.72636986
3525,Madagascar,7.252203623
5600,Trinidad and Tobago,11.11131308
2340,Honduras,8.65581398
3229,Saint Lucia,12.93918991
3975,Malaysia,11.17020353
5385,Chad,4.661309958
2478,Indonesia,11.06958961
1300,Costa Rica,13.99741827
4374,Panama,12.67351309
955,Canada,16.15789032
