,country,human_development_index,gross_national_income_per_capita_2017_ppp_log,median_age_as_of_july_1st_years,mean_years_of_schooling,rate_of_natural_change_per_1000_population,net_reproduction_rate_surviving_daughters_per_woman,adolescent_birth_rate_per_1000_women_ages_15_19,total_fertility_rate_live_births_per_woman,crude_birth_rate_births_per_1000_population
580,Bahamas,True,False,False,False,False,False,False,False,False
3792,Montenegro,False,False,False,False,False,False,False,False,False
3232,Liechtenstein,True,False,False,False,False,False,False,False,False
454,Burkina Faso,True,False,False,True,False,False,False,False,False
4982,El Salvador,False,False,False,False,False,False,False,False,False
5990,Viet Nam,False,False,False,False,False,False,False,False,False
4537,Poland,False,False,False,False,False,False,False,False,False
4930,Sierra Leone,False,False,False,False,False,False,False,False,False
5286,Eswatini,False,False,False,False,False,False,False,False,False
3863,Mozambique,False,False,False,False,False,False,False,False,False
6193,Zimbabwe,False,False,False,False,False,False,False,False,False
428,Benin,False,False,False,False,False,False,False,False,False
715,Bolivia (Plurinational State of),False,False,False,False,False,False,False,False,False
3497,Moldova,False,False,False,False,False,False,False,False,False
3258,Liechtenstein,False,False,False,False,False,False,False,False,False
4275,New Zealand,False,False,False,False,False,False,False,False,False
5689,Türkiye,False,False,False,False,False,False,False,False,False
751,Brazil,False,False,False,False,False,False,False,False,False
85,Albania,False,False,False,False,False,False,False,False,False
4046,Niger,False,False,False,False,False,False,False,False,False
3409,Latvia,False,False,False,False,False,False,False,False,False
6137,South Africa,False,False,False,False,False,False,False,False,False
4534,Poland,False,False,False,False,False,False,False,False,False
6167,Zambia,False,False,False,False,False,False,False,False,False
2092,Gambia,False,False,False,False,False,False,False,False,False
3568,Maldives,False,False,False,False,False,False,False,False,False
3749,Myanmar,False,False,False,False,False,False,False,False,False
2115,Guinea-Bissau,True,False,False,True,False,False,False,False,False
800,Brunei Darussalam,False,False,False,False,False,False,False,False,False
1614,Ecuador,False,False,False,False,False,False,False,False,False
3614,Mexico,False,False,False,False,False,False,False,False,False
512,Bulgaria,False,False,False,False,False,False,False,False,False
2253,Guatemala,False,False,False,False,False,False,False,False,False
6076,Samoa,False,False,False,False,False,False,False,False,False
886,Botswana,False,False,False,False,False,False,False,False,False
2063,Guinea,False,False,False,False,False,False,False,False,False
2170,Equatorial Guinea,False,False,False,False,False,False,False,False,False
4631,Paraguay,False,False,False,False,False,False,False,False,False
1324,Cuba,False,False,False,False,False,False,False,False,False
1346,Cyprus,False,False,False,False,False,False,False,False,False
1295,Costa Rica,False,False,False,False,False,False,False,False,False
4500,Papua New Guinea,False,False,False,False,False,False,False,False,False
4956,Sierra Leone,False,False,False,False,False,False,False,False,False
5085,Serbia,False,False,False,False,False,False,False,False,False
5483,Tajikistan,False,False,False,False,False,False,False,False,False
3107,Lebanon,True,False,False,True,False,False,False,False,False
4750,Rwanda,False,False,False,False,False,False,False,False,False
2139,Guinea-Bissau,False,False,False,False,False,False,False,False,False
5235,Slovenia,False,False,False,False,False,False,False,False,False
5778,Uganda,False,False,False,False,False,False,False,False,False
2728,Jamaica,False,False,False,False,False,False,False,False,False
1060,Côte d'Ivoire,False,False,False,False,False,False,False,False,False
50,Angola,False,False,False,False,False,False,False,False,False
3436,Morocco,False,False,False,False,False,False,False,False,False
4391,Peru,False,False,False,False,False,False,False,False,False
6132,South Africa,False,False,False,False,False,False,False,False,False
5465,Thailand,False,False,False,False,False,False,False,False,False
4881,Singapore,False,False,False,False,False,False,False,False,False
5148,Sao Tome and Principe,False,False,False,False,False,False,False,False,False
1009,Chile,False,False,False,False,False,False,False,False,False
987,Switzerland,False,False,False,False,False,False,False,False,False
3943,Malawi,False,False,False,False,False,False,False,False,False
1540,Dominican Republic,False,False,False,False,False,False,False,False,False
2814,Japan,False,False,False,False,False,False,False,False,False
2625,Iceland,False,False,False,False,False,False,False,False,False
